Class,Subclass_1,Subclass_2,Subclass_3,Subclass_4,KEGG
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C00058
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C00033
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C00163
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C00246
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C00803
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C01585
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C17714
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C06423
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C01601
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C17715
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C01571
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C02679
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C17076
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C06424
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C16537
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C00249
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C01530
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C16535
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C06425
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C08281
Lipids,Fatty acyls,Fatty Acids and Conjugates,Straight chain fatty acids,none,C08320
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C08262
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16665
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16462
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C13787
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C00141
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C06008
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C00671
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C03467
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C04181
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C04237
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16651
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16649
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16650
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16652
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16653
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16654
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16648
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16655
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C16656
Lipids,Fatty acyls,Fatty Acids and Conjugates,Branched fatty acids,none,C04834
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C08322
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C08362
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C16536
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C08363
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C00712
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C01712
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C08367
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C16526
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C08316
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Monounsaturated fatty acids,C08323
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Polyunsaturated fatty acids,C16344
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Polyunsaturated fatty acids,C04056
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Polyunsaturated fatty acids,C01595
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Polyunsaturated fatty acids,C06426
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Polyunsaturated fatty acids,C08315
Lipids,Fatty acyls,Fatty Acids and Conjugates,Unsaturated fatty acids,Polyunsaturated fatty acids,C06427
