KO_Class,KO_Subclass1,KO_Subclass2,KO_Number,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00844,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K12407,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00845,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00886,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K08074,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00918,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01810,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K06859,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15916,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00850,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16370,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01623,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01624,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K11645,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16305,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16306,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01803,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00134,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00150,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00927,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K11389,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01834,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15633,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15634,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15635,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01689,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00873,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K12406,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01622,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00163,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00161,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00162,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00627,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00382,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00169,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00170,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00172,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00171,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00027,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00028,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00029,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K13937,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00036,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K19243,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01057,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K07404,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00033,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01783,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01807,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01808,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00615,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00616,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K13810,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K08094,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K08093,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K13812,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K13831,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00948,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00034,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18124,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18125,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01053,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00851,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01690,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01625,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K05308,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00874,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18126,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K11395,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00131,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18978,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18127,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18020,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18021,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18022,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18128,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03738,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01647,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01681,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01682,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00031,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00030,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00164,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00658,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00174,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00175,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00177,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00176,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01902,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01903,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01899,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01900,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18118,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00234,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00235,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00236,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00237,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00239,,1.3.5.4],,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00240,,1.3.5.4],,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00241,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00242,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18859,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18860,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00244,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00245,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00246,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00247,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01676,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01679,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01677,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01678,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00026,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00025,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00024,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00116,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01637,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01638,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00023,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K17865,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14446,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14447,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14448,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14451,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00261,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K19268,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01846,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K04835,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K19280,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K19281,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K19282,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01965,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01966,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K11263,,6.4.1.3,6.3.4.14],,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18472,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K19312,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K11942,,,,,,,,
